Issue;Side-Effect;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbcontrib;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
ListIndexIterating;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;Using an Iterator can perform better for certain List implementations (like LinkedList).;;;*.java, *.kt;;ListIndexIterating1.txt;ListIndexIterating2.txt;The code may need to iterate a LinkedList backward or skip elements based on their index. For such access patterns, using a for loop with get(i) can be more straightforward than using a ListIterator.;A developer needs to  iterate a LinkedList;;;;;
LogToStringParameter;Runtime;Unnecessary Computation, API Misuse;No;;;;;;;;;;;;✅;;;;When a method uses parameterized logging to avoid the cost of string concatenation in the case that the log level does not meet the needed level. However, one or more of the parameters passed to the logging method uses .toString() to present a String representation for the parameter. This is unneeded as the logger will do this for you, and because it is explicitly done, will always be called even if the log statement is not actually written. Also, by dropping the '.toString()' you may avoid unnecessary NPEs. Just pass the variable as a parameter instead.;;;*.java, *.kt;;LogToStringParameter1.txt;LogToStringParameter2.txt;The object's toString() method might perform a lazy, expensive calculation. The developer may want to execute it at a precise moment, even if the log message is ultimately discarded.;A developer logs a user object with a custom message;;;;;
LogAppendedStringInFormat;Runtime;Data Manipulation, API Misuse;No;;;;;;;;;;;;✅;;;;When a  method uses an SLF4J or Log4j2 logger to log a string, where the first (format) string is created using concatenation. You should use {} markers to inject dynamic content into the string, so that String building is delayed until the actual log string is needed. If the log level is high enough that this log statement isn't used, then the appends will never be executed.;;;*.java, *.kt;;LogAppendedStringInFormat1.txt;LogAppendedStringInFormat2.txt;The concatenated string might be used for something else besides logging (e.g., displaying in a UI Toast), so it must be created anyway. It is then passed to the logger for convenience.;A developer logs a user object with a custom message and needs to concatenate strings for that;;;;;
LocalSynchronizedCollection;Runtime;Concurrency, Unnecessary Computation;No;;;;;;;;;;;;✅;;;;A  method creates a synchronized collection and stores the reference to it in a local variable. As local variables are by definition thread-safe, it seems questionable that this collection needs to be synchronized.;;;*.java, *.kt;;LocalSynchronizedCollection1.txt;LocalSynchronizedCollection2.txt;The local collection, while created in a single thread, might be passed to other threads for processing (e.g., submitted to an ExecutorService), in which case the synchronization is necessary.;A developer needs to manipulate a local ArrayList In a single-threaded method;;;;;
UseSingletonList;Runtime;Suboptimal Algorithm, API Misuse;No;;;;;;;;;;;;✅;;;;A  method builds a list using Arrays.asList(foo), passing in a single element. Arrays.asList needs to first create an array from this one element, and then build a List that wraps this array. It is simpler to use Collections.singletonList(foo), which does not create the array, and produces a far simpler instance of List. Since both of these arrays are immutable (from the List's point of view) they are equivalent from a usage standpoint. There is one difference between Array.asList and Collections.singletonList that you should be mindful of. The rarely used set(index, value) method is allowed to be used with a List created by Array.asList, but not with Collections.singletonList. So if you do use the set(index, value) method continue using Arrays.asList.;;;*.java, *.kt;;UseSingletonList1.txt;UseSingletonList2.txt;Arrays.asList() returns a list where the set() method can be called. If the code relies on this ability, it is the correct choice over the truly immutable Collections.singletonList().;A developer needs to return a list containing a single literal string;;;;;
RunFinalization;Runtime;Code Smell, API Misuse;No;;;;;;;;;;;;✅;;;;"Manually triggering finalization can result in serious performance problems and may be masking resource cleanup bugs. Only the garbage collector, not application code, should be concerned with finalization.
";;;*.java, *.kt;;RunFinalization1.txt;RunFinalization2.txt;This is almost never justified in production code but might be used in a specific testing or benchmarking scenario to attempt to force the cleanup of native resources to check for leaks.;Concerned about memory, a developer whants to improve memory consumption after running an heavy task;;;;;
CallingSizeOnSubContainer;Memory;Unnecessary Computation;No;;;;;;;;;;;;✅;;;;A method calls size on the keySet(), entrySet() or values() collections of a Map. These sub collections will have the same size as the base Map and so it is just simpler to call size on that Map. Calling size() on one of these sub collections will causes unnecessary allocations to occur.;;;*.java, *.kt;;CallingSizeOnSubContainer1.txt;CallingSizeOnSubContainer2.txt;A developer might have a reference to a map's keySet or values collection but not to the original map itself. In that context, calling size() on the sub-collection is the most direct approach.;A developer checks if a map is empty when iterating a map through keySet();;;;;
ContainsKeyBeforeGet;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;A method checks for the presence of a key in a map using containsKey(), before attempting to fetch the value of the key using get(). This equates to doing two map lookups in a row. It is much simpler to just fetch the value with get, and checking for non null instead.;;;*.java, *.kt;;ContainsKeyBeforeGet1.txt;ContainsKeyBeforeGet2.txt;If a map can contain null values, map.get(key) returning null is ambiguous (key absent vs. key present with null value). Calling containsKey() first is the only way to distinguish these cases.;A developer needs to get a value from a Map if exists;;;;;
GetBeforeRemove;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;A method fetches the value of an entry in a map using get(K k), and then follows it up with a remove(K k). Since a remove() also returns the value, there is no point for doing the get, and just causes two map lookups to occur when it can be done with just one.;;;*.java, *.kt;;GetBeforeRemove1.txt;GetBeforeRemove2.txt;The code may need to perform some logic or validation on the value obtained from get() before deciding whether to remove it, making the two-step process intentional.;A developer needs to remove a value from a Map if exists and return it ;;;;;
NeedlessInstanceRetrieval;Runtime;Unnecessary Computation;No;;;;;;;;;;;;✅;;;;A method calls a method to load a reference to an object, and then only uses it to load a static member of that instance's class. It is simpler and more performant to just load the static field from the class itself.;;;*.java, *.kt;;NeedlessInstanceRetrieval1.txt;NeedlessInstanceRetrieval2.txt;The code might be generated by a tool that follows a simple but inefficient pattern, and manual editing is not feasible.;A developer needs to get a static constant ;;;;;
NeedlessMemberCollectionSynchronization;Runtime;Unnecessary Computation, Concurrency;No;;;;;;;;;;;;✅;;;;"A class defines a private collection member as synchronized. It appears, however, that this collection is only modified in a static initializer, or constructor. As these two areas are guaranteed to be thread safe, defining this collection as synchronized is unnecessary and a potential performance bottleneck.
";;;*.java, *.kt;;NeedlessMemberCollectionSynchronization1.txt;NeedlessMemberCollectionSynchronization2.txt;The class might be designed for extension, and subclasses could introduce multithreaded access. The synchronization in the base class is a defensive measure to ensure thread safety for all subclasses.;A developer declares a synchronizedSet and populates it in the constructor;;;;;
OptionalPrimitiveVariantPreferred;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;"A method creates an Optional object to hold an int, double or long. In these cases it is more natural to use the Optional variants OptionalInt, OptionalDouble and OptionalLong.
";;;*.java, *.kt;;OptionalPrimitiveVariantPreferred1.txt;OptionalPrimitiveVariantPreferred2.txt;The code may need to interoperate with a generic API that works with Optional<T> and cannot be changed. It must return an Optional<Integer> to satisfy the generic interface.;A developer wants to use Optional*<> primitives to return user's age;;;;;
OptionalIssuesUsesImmediateExecution;Runtime;Unnecessary Computation;No;;;;;;;;;;;;✅;;;;A method uses the Optional.orElse() method passing in some code that will execute immediately, whether or not the else case of the Optional is needed. This may cause incorrect side effects to happen, or at the minimum, code to execute for no reason. It would be better to use Optional.orElseGet();;;*.java, *.kt;;OptionalIssuesUsesImmediateExecution1.txt;OptionalIssuesUsesImmediateExecution2.txt;The method called in orElse() may be a simple, non-allocating getter that is cheap to execute. The developer may choose the more concise orElse() for readability when the performance cost is zero.;A developer provides a default value to an optional;;;;;
InstanceBasedThreadLocal;Memory;Concurrency;No;;;;;;;;;;;;✅;;;;When a ThreadLocal field is defined as being instance based (not static). As all ThreadLocal variables describe permanent reachability roots so far as the garbage collector is concerned, these variables will never be reclaimed (so long as the Thread lives). Since this ThreadLocal is instanced, you potentially will be creating many non-reclaimable variables, even after the owning instance has been reclaimed. It is almost a certainty that you want to use static based ThreadLocal variables.;;;*.java, *.kt;;InstanceBasedThreadLocal1.txt;InstanceBasedThreadLocal2.txt;This is rare, but in a framework where instances of a class are guaranteed to be managed one-per-thread, an instance-based ThreadLocal is functionally equivalent to a static one within that specific context and would not cause a leak.;A developer needs to declare a ThreadLocal field in a request handler class;;;;;
PossibleMemoryBloat;Memory;Resource Management;No;;;;;;;;;;;;✅;;;;A class defines static fields that are Collections, StringBuffers, or StringBuilders that do not appear to have any way to clear or reduce their size. That is, a collection is defined and has method calls like {add(), append(), offer(), put(), ...} with no method calls to removal methods like {clear(), delete(), pop(), remove(), ...} This means that the collection in question can only ever increase in size, which is a potential cause of memory bloat.;;;*.java, *.kt;;PossibleMemoryBloat1.txt;PossibleMemoryBloat2.txt;The static collection might be a cache that is intended to grow and store data for the entire application's lifecycle. If the total number of items is bounded and known to be a reasonable size, this is not a memory leak but the intended design.;A developer creates a static final Map as an in-memory cache;;;;;
PreSizeCollections;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;This method allocates a collection using the default constructor even though it is known a priori (or at least can be reasonably guessed) how many items are going to be placed in the collection, and thus needlessly causes intermediate reallocations of the collection. You can use the constructor that takes an initial size and that will be much better, but due to the loadFactor of Maps and Sets, even this will not be a correct estimate.;;;*.java, *.kt;;PreSizeCollections1.txt;PreSizeCollections2.txt;The initial size is just a best-effort estimate. The developer provides a common initial capacity to avoid reallocations in the most frequent scenarios, while accepting that reallocations may still occur in others.;A developer needs to copy a 10,000-element list into a new ArrayList;;;;;
SubOptimalCollectionSizing;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;This method allocates a collection using the a constructor that takes a size parameter. However, because Maps and Sets have a loading factor, passing in the exact size you want is an incorrect way to presize the collection, and may still cause reallocations. Since you are using Guava, it is better to use  Maps.newHashMapWithExpectedSize(c.size()  or Sets.newHashSetWithExpectedsize(c.size())  as this method calculates the correct size taking into account the loading factor. Alternatively, if you know that the collection will not grow beyond the initial size, you can specify a load factor of 1.0F in the constructor.;;;*.java, *.kt;;SubOptimalCollectionSizing1.txt;SubOptimalCollectionSizing2.txt;;A developer initializes a HashSet that will hold exactly 100 items;;;;;
StaticArrayCreatedInMethod;Runtime;Unnecessary Computation;No;;;;;;;;;;;;✅;;;;A  method creates an array initialized by constants. Each time this method is called this array will be recreated. It would be more performant to define the array as a static field of the class instead.;The method may be a temporary, private helper where defining the constant array locally enhances readability and avoids polluting the class's namespace. The performance impact is negligible if the method is not called frequently.;;*.java, *.kt;;StaticArrayCreatedInMethod1.txt;StaticArrayCreatedInMethod2.txt;;A develper needs a method that returns a constant array of default values ;;;;;
SubOptimalExpressionOrder;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;A method builds a conditional expression, for example, in an if or while statement, where the expressions contain both simple local variable comparisons and comparisons on method calls. The expression orders these so that the method calls come before the simple local variable comparisons. This causes method calls to be executed in conditions when they do not need to be, and thus potentially causes a lot of code to be executed for nothing. By ordering the expressions so that the simple conditions containing local variable conditions are first, you eliminate this waste. This assumes that the method calls do not have side effects. If the methods do have side effects, it is probably a better idea to pull these calls out of the condition and execute them first, assigning a value to a local variable. In this way you give a hint that the call may have side effects.;;;*.java, *.kt;;SubOptimalExpressionOrder1.txt;SubOptimalExpressionOrder2.txt;"The ""expensive"" method call that is checked first might have a required side effect that must be executed regardless of the outcome of the cheaper checks.";A developer needs complex conditional expressions in a if;;;;;
SQLInLoop;Runtime;Data Access, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;A  method executes SQL queries inside of a loop. This pattern is often inefficient as the number of queries may mushroom in fencepost cases. It is probably more performant to loop over the input and collect the key data needed for the query for all items, and issue one query using an in clause, or similar construct, and then loop over this result set, and fetch all the data at once.;;;*.java, *.kt;;SQLInLoop1.txt;SQLInLoop2.txt;The result of one SQL query inside the loop might be required as input for the next query in the subsequent iteration, making it impossible to batch the queries into a single operation.;A developer needs to fetch data for 100 users from a database;;;;;
ContainsBeforeAdd;Runtime;Unnecessary Computation;No;;;;;;;;;;;;✅;;;;"This method checks to see if an element is not in a set before adding it. This is unnecessary as you can just add the item, and if the item exists, it won't add it, otherwise it will.
";;;*.java, *.kt;;ContainsBeforeAdd1.txt;ContainsBeforeAdd2.txt;If the add operation itself has a significant side effect or cost (e.g., triggering a network call), it is valid to check for the element's presence first to avoid that cost.;A developer needs to add a value to a set that might exist already;;;;;
ContainsBeforeRemove;Runtime;Unnecessary Computation;No;;;;;;;;;;;;✅;;;;"This method checks to see if an element is in a set before removing it. This is unnecessary as you can just remove the item, and if the item exists, it will return true.
";;;*.java, *.kt;;ContainsBeforeRemove1.txt;ContainsBeforeRemove2.txt;"The remove operation may have a side effect that should only occur if the element was actually present (e.g., logging ""User X was removed""). Checking for existence first allows for this conditional logic.";A developer needs to remove a value from a set that might not exist yet;;;;;
TailRecursion;Memory;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;"This method recursively calls itself as the last statement of the method (Tail Recursion). This method can be easily refactored into a simple loop, which will make it more performant, and reduce the stack size requirements.
";;;*.java, *.kt;;TailRecursion1.txt;TailRecursion2.txt;For some algorithms, particularly those involving tree traversal or functional-style programming, the recursive form is a much clearer and more natural representation of the logic than an iterative loop. The improved readability can be worth the minor performance trade-off. If the maximum recursion depth is known to be small and well within the limits of the stack size, using a recursive implementation might be preferred for its clarity and elegance over a more complex iterative solution.;A developer implements a fibonnacci algorithm ;;;;;
UseAddAll;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;"This method uses a simple for loop to copy the contents of a set, list, map key/value, array or other collection to another collection. It is simpler and more straightforward to just call the addAll method of the destination collection passing in the source collection. In the case that the source is an array, you can use the Arrays.asList method to wrap the array into a collection.
";;;*.java, *.kt;;UseAddAll1.txt;UseAddAll2.txt;The for loop may be transforming or wrapping each element before adding it to the destination collection, a task that addAll cannot perform.;A developer needs to copy one list into another ;;;;;
UseEnumCollections;Runtime;Data Manipulation, Obsolete Solution;No;;;;;;;;;;;;✅;;;;This class uses an ordinary set or map collection and uses an enum class as the key type. It is more performant to use the JDK 1.5 EnumSet or EnumMap classes.;;;*.java, *.kt;;UseEnumCollections1.txt;UseEnumCollections2.txt;The code needs to be compatible with older versions of Java (pre-1.5) where EnumSet and EnumMap did not exist.;A developer needs a Map to store Enum values as key;;;;;
UnjitableMethod;Runtime;Code Smell;No;;;;;;;;;;;;✅;;;;This method is longer than 8000 bytes. By default the JIT will not attempt to compile this method no matter how hot it is, and so this method will always be interpreted. If performance is important, you should consider breaking this method up into smaller chunks. (And it's probably a good idea for readability too!);;;*.java, *.kt;;UnjitableMethod1.txt;UnjitableMethod2.txt;"The method, while long, might be ""cold code"" that is executed very rarely. If it is not on a performance-critical path, the fact that it is not JIT-compiled will have no noticeable impact on the application.";A developer needs to write a very extensive method;;;;;
ArrayPrimitive;Runtime;Data Manipulation;No;;;;;;;;;;;;;;✅;✅;Using `Array<Primitive>` leads to implicit boxing and performance hit. Prefer using Kotlin specialized Array Instances.  Kotlin has specialized arrays to represent primitive types without boxing overhead, such as `IntArray`, `ByteArray` and so on.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/ArrayPrimitive.kt;Replace generic Arrays with specialized arrays;*.kt;;ArrayPrimitive1.txt;ArrayPrimitive2.txt;The code may need to interact with a generic Java API that requires an Array<Integer> (an array of objects) and cannot work with a primitive IntArray.; A developer needs an Array to store millions of integers;;;;;
CouldBeSequence;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;;;✅;✅;Long chains of collection operations will have a performance penalty due to a new list being created for each call. Consider using sequences instead;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/CouldBeSequence.kt;Use sequences instead;*.kt;;CouldBeSequence1.txt;CouldBeSequence2.txt;If the initial collection is known to be very small, the overhead of creating a Sequence object and its iterator can be greater than the cost of creating intermediate lists for each collection operation.;A developer needs to perform  multiple map and filter operations on a large collection;;;;;
ForEachOnRange;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;;;✅;✅;Using the forEach method on ranges has a heavy performance cost. Prefer using simple for loops.  Benchmarks have shown that using forEach on a range can have a huge performance cost in comparison to  simple for loops. Hence, in most contexts, a simple for loop should be used instead.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/ForEachOnRange.kt;To solve this code smell, the forEach usage over an range should be replaced by a for loop;*.kt;;ForEachOnRange1.txt;ForEachOnRange2.txt;A developer might use forEach on a range to maintain a consistent, fluent style within a chain of other collection operations. The loss of performance may be an acceptable trade-off for code readability in non-critical sections.;A developer needs to perform a loop form 1 to 1 million;;;;;
SpreadOperator;Memory;Data Manipulation;No;;;;;;;;;;;;;;✅;✅;In most cases using a spread operator causes a full copy of the array to be created before calling a method.  This has a very high performance penalty.  The Kotlin compiler since v1.1.60 has an optimization that skips the array copy when an array constructor function is used to create the arguments that are passed to the vararg parameter. This case will not be flagged by the rule since it doesn't suffer the performance penalty of an array copy.;;Refactor in order to the array copy be skipped for the usage of the spread operator;*.kt;;SpreadOperator1.txt;SpreadOperator2.txt;The spread operator creates a copy of the array. This might be the desired behavior if the developer wants to prevent the called function from modifying the original array (defensive copying).;a developer needs to write a function to process a large array and already has a function to do that in the same class that receives an unlimited number of arguments;;;;;
UnnecessaryPartOfBinaryExpression;Runtime;Code Smell;No;;;;;;;;;;;;;;✅;✅;when a method uses unnecessary binary expressions, including those in `if` and `when` conditions, as well as all predicates.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/UnnecessaryPartOfBinaryExpression.kt;Remove unncessary part of binary expression;*.java, *.kt;;UnnecessaryPartOfBinaryExpression1.txt;UnnecessaryPartOfBinaryExpression2.txt;The seemingly unnecessary part of a boolean expression might be left in the code intentionally for readability or as a form of documentation, making the logical flow explicit even if it could be simplified.;A developer writes if with fixed constatn values;;;;;
UnnecessaryTypeCasting;Runtime;Code Smell, Unnecessary Computation;No;;;;;;;;;;;;;;✅;✅;Cast in a unnecessary type casting. Cases like this can be replaced with type checking for performance reasons.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/UnnecessaryTypeCasting.kt;Use type checking instead.;*.java, *.kt;;UnnecessaryTypeCasting1.txt;UnnecessaryTypeCasting2.txt;An explicit cast, while seemingly redundant, might be necessary to help the compiler resolve an ambiguous method overload, where it cannot infer the correct type without the developer's guidance.;A developer needs to get the lenght of a string after a if (obj is String) block;;;;;
